# mass,sensi
3.021999999999999797e+00,9.799500000000000295e-43
3.150599999999999845e+00,5.787099999999999960e-43
3.280499999999999972e+00,3.370999999999999864e-43
3.390899999999999803e+00,2.421700000000000031e-43
3.512799999999999923e+00,1.619799999999999920e-43
3.647200000000000220e+00,9.984599999999999561e-44
3.837000000000000188e+00,6.188299999999999551e-44
3.974899999999999878e+00,4.233499999999999918e-44
4.117700000000000138e+00,2.962300000000000191e-44
4.265600000000000058e+00,2.088399999999999943e-44
4.418800000000000061e+00,1.483499999999999954e-44
4.577499999999999680e+00,1.073699999999999963e-44
4.741900000000000226e+00,7.742499999999999870e-45
4.912200000000000344e+00,5.667600000000000445e-45
5.111100000000000421e+00,3.995699999999999724e-45
5.341499999999999915e+00,2.743799999999999989e-45
5.582200000000000273e+00,1.884200000000000014e-45
5.833899999999999864e+00,1.293799999999999926e-45
6.096899999999999764e+00,8.858199999999999901e-46
6.371699999999999697e+00,6.119600000000000379e-46
6.658900000000000041e+00,4.253099999999999819e-46
6.958999999999999631e+00,2.947099999999999850e-46
7.272700000000000387e+00,2.060600000000000164e-46
7.600399999999999601e+00,1.462599999999999929e-46
7.942899999999999849e+00,1.047499999999999922e-46
8.337400000000000588e+00,7.398099999999999988e-47
8.790100000000000691e+00,5.183099999999999613e-47
9.267200000000000770e+00,3.714099999999999902e-47
9.813299999999999912e+00,2.634899999999999878e-47
1.043699999999999939e+01,1.868599999999999994e-47
1.115000000000000036e+01,1.336999999999999952e-47
1.201600000000000001e+01,9.463400000000000450e-48
1.306400000000000006e+01,6.738399999999999517e-48
1.432900000000000063e+01,4.932199999999999732e-48
1.578400000000000070e+01,3.793799999999999707e-48
1.738800000000000168e+01,3.015400000000000183e-48
1.915399999999999991e+01,2.476699999999999997e-48
2.109900000000000020e+01,2.113599999999999945e-48
2.324099999999999966e+01,1.853699999999999915e-48
2.560099999999999909e+01,1.673100000000000104e-48
2.819900000000000162e+01,1.558300000000000076e-48
3.106099999999999994e+01,1.497700000000000128e-48
3.421300000000000097e+01,1.469399999999999904e-48
3.768500000000000227e+01,1.457399999999999887e-48
4.150900000000000034e+01,1.447399999999999924e-48
4.572200000000000131e+01,1.447399999999999924e-48
5.036099999999999710e+01,1.469399999999999904e-48
5.546999999999999886e+01,1.518400000000000149e-48
6.109799999999999898e+01,1.579699999999999888e-48
6.729600000000000648e+01,1.661699999999999951e-48
7.412300000000000466e+01,1.767099999999999880e-48
8.164199999999999591e+01,1.892100000000000029e-48
8.992400000000000659e+01,2.028699999999999880e-48
9.904600000000000648e+01,2.184099999999999929e-48
1.090900000000000034e+02,2.357799999999999935e-48
1.201599999999999966e+02,2.545299999999999855e-48
1.323499999999999943e+02,2.740300000000000050e-48
1.457700000000000102e+02,2.958300000000000101e-48
1.605600000000000023e+02,3.193600000000000233e-48
1.768499999999999943e+02,3.457099999999999752e-48
1.947800000000000011e+02,3.747400000000000290e-48
2.145399999999999920e+02,4.056599999999999738e-48
2.363000000000000114e+02,4.403199999999999730e-48
2.602699999999999818e+02,4.772999999999999733e-48
2.866700000000000159e+02,5.173900000000000036e-48
3.157500000000000000e+02,5.623699999999999745e-48
3.477799999999999727e+02,6.129399999999999809e-48
3.830600000000000023e+02,6.662400000000000526e-48
4.219100000000000250e+02,7.231700000000000161e-48
4.647099999999999795e+02,7.871300000000000535e-48
5.118399999999999750e+02,8.567299999999999681e-48
5.637599999999999909e+02,9.350500000000000549e-48
6.209400000000000546e+02,1.026100000000000049e-47
6.839199999999999591e+02,1.126099999999999925e-47
7.532999999999999545e+02,1.234000000000000087e-47
8.297000000000000455e+02,1.352400000000000090e-47
9.138600000000000136e+02,1.492199999999999966e-47
1.006500000000000000e+03,1.648799999999999926e-47
1.108599999999999909e+03,1.824299999999999889e-47
1.221099999999999909e+03,2.015700000000000110e-47
1.344900000000000091e+03,2.227200000000000184e-47
1.481299999999999955e+03,2.474399999999999860e-47
1.631599999999999909e+03,2.756500000000000210e-47
1.797099999999999909e+03,3.037399999999999980e-47
1.993799999999999955e+03,3.464099999999999848e-47
