#mass_gev,limit,sensitivity_median,sensitivity_plus1sigma,sensitivity_plus2sigma,sensitivity_minus1sigma,sensitivity_minus2sigma
6.0,3.668236813361517e-39,6.956536077491129e-39,1.4923901761267823e-38,2.2666121436283743e-38,3.9960239412570756e-39,3.285984753369037e-39
7.0,9.66819173607235e-40,1.5870420938298906e-39,3.176857993960735e-39,4.8601165666206325e-39,8.11445030888722e-40,6.440237429652348e-40
8.0,3.160434870387554e-40,5.335258649924334e-40,1.0240958579781683e-39,1.5700335961857174e-39,2.3638032106959144e-40,1.9271887917079044e-40
9.0,1.4240906542590816e-40,2.3301722445742688e-40,4.359882119774512e-40,6.679839433484696e-40,9.479507974319482e-41,7.696000787807718e-41
10.0,7.85344168962799e-41,1.223073166755498e-40,2.2533181281880207e-40,3.445226674608264e-40,4.803944336990474e-41,3.771258124507328e-41
15.0,1.5923339659488716e-41,2.0734757872248466e-41,3.741287653782781e-41,5.644287570868149e-41,8.664821680060441e-42,5.509571849965341e-42
20.0,8.458867241740157e-42,9.878474885446394e-42,1.7734180557007398e-41,2.6571786400226003e-41,4.393094828286362e-42,2.649494962897336e-42
30.0,6.251001628448816e-42,5.943152218650987e-42,1.059660365026731e-41,1.5818065614525125e-41,2.752133391975013e-42,1.688597086413935e-42
40.0,7.137476335850759e-42,5.5094791248227966e-42,9.779203510980891e-42,1.460018629142167e-41,2.5640038108444618e-42,1.5210189608071116e-42
50.0,8.429808646279334e-42,5.807341991173566e-42,1.0274727420016697e-41,1.5355050042173047e-41,2.690459736276724e-42,1.4730657901743416e-42
70.0,1.1156663696875416e-41,6.98751571853563e-42,1.2309691015981743e-41,1.842856639298403e-41,3.196527837495507e-42,1.681593852299871e-42
80.0,1.2528008717884209e-41,7.633143368717771e-42,1.3427005826776772e-41,2.0111300948261312e-41,3.4747424262910086e-42,1.8394197057603633e-42
100.0,1.525844952366589e-41,8.92855933560931e-42,1.5670877564072537e-41,2.3483369053821855e-41,4.03535459234237e-42,2.1838349251531124e-42
120.0,1.7979564503154033e-41,1.0229271829421922e-41,1.792572472243831e-41,2.6864702710130724e-41,4.600388916589877e-42,2.54196884041037e-42
150.0,2.2053942960029263e-41,1.2190621039554254e-41,2.13280770575217e-41,3.1956954653136177e-41,5.4550628494589215e-42,3.0748329842482945e-42
200.0,2.8843497019024605e-41,1.548818636735969e-41,2.705270901837205e-41,4.0505947935351984e-41,6.896919741847867e-42,3.950021266684376e-42
300.0,4.246293270169354e-41,2.218859955224665e-41,3.8697082998537064e-41,5.78484074599361e-41,9.839426820033279e-42,5.685215098633659e-42
500.0,6.991840968608885e-41,3.594733646116309e-41,6.264741943340929e-41,9.341311463308298e-41,1.5917257778804874e-41,9.175913609568699e-42
700.0,9.762265087291572e-41,5.006358973624951e-41,8.726411228997466e-41,1.2989703415798724e-40,2.218776933902232e-41,1.2709764123010297e-41
1000.0,1.395084245804606e-40,7.168439461093429e-41,1.2503622624389754e-40,1.8582900877136055e-40,3.1839911862215887e-41,1.8081810340067611e-41
