#mass_gev,limit,sensitivity_median,sensitivity_plus1sigma,sensitivity_plus2sigma,sensitivity_minus1sigma,sensitivity_minus2sigma
6.0,1.2203191436161477e-37,2.3905278373026676e-37,5.094015066005807e-37,7.934660283811339e-37,1.2231757106409671e-37,1.0628251976535371e-37
7.0,2.755203727115299e-38,5.504389246482393e-38,1.082851290868505e-37,1.6744133254440776e-37,2.445729363464244e-38,2.0738032278023565e-38
8.0,9.544827781152562e-39,1.771156291535703e-38,3.4681797083837664e-38,5.328879160548861e-38,7.548343443084336e-39,6.203143525804668e-39
9.0,4.375037191649309e-39,7.47435974896026e-39,1.463344532052337e-38,2.2361314551043493e-38,3.1205944507827416e-39,2.479935578389252e-39
10.0,2.425622637389138e-39,3.8574339116183046e-39,7.487553005554601e-39,1.1387786642221393e-38,1.5831685006983437e-39,1.2169027199558215e-39
15.0,5.1366206048242365e-40,6.519448123360487e-40,1.1853972745599679e-39,1.7758777990096498e-39,2.641220561872992e-40,1.770382507947697e-40
20.0,2.688072784561985e-40,3.0938929660144627e-40,5.434648095302108e-40,8.090236525449436e-40,1.3459159490004126e-40,8.318559434509105e-41
30.0,1.938604092296444e-40,1.8065268516676868e-40,3.114511407037104e-40,4.6199903640652826e-40,8.636581692240413e-41,5.060501953822862e-41
40.0,2.2804974367768137e-40,1.622736240722079e-40,2.8010871415241222e-40,4.155671059929553e-40,7.637500156228437e-41,4.493254436158525e-41
50.0,2.703532708665018e-40,1.665568695083874e-40,2.891270764832112e-40,4.293773506145436e-40,7.7129435524601e-41,4.4304872518970827e-41
70.0,3.487757917507699e-40,1.929429774887311e-40,3.385444151475876e-40,5.0378336728655714e-40,8.827761356114954e-41,4.790537802685889e-41
80.0,3.8716051363542755e-40,2.0807408644551363e-40,3.664073252429105e-40,5.456407488206056e-40,9.48884946542577e-41,5.080084817538827e-41
100.0,4.6363649407816405e-40,2.389873594007079e-40,4.227778554071419e-40,6.30219795192638e-40,1.084594891627324e-40,5.768879863549572e-41
120.0,5.3992490620549614e-40,2.705221334220978e-40,4.797777272208764e-40,7.1564943990526605e-40,1.2235529322585299e-40,6.549705078779451e-41
150.0,6.543043325728363e-40,3.186890991261869e-40,5.66199194539599e-40,8.45057892223826e-40,1.436363308361128e-40,7.825098926341694e-41
200.0,8.453259840593927e-40,4.007886046183392e-40,7.1231477797692755e-40,1.0636382881934793e-39,1.799971997803185e-40,1.0106839081673241e-40
300.0,1.2299880203243944e-39,5.703684915678709e-40,1.0111759908394064e-39,1.5101848502506022e-39,2.5528637607468604e-40,1.4863366057545738e-40
500.0,2.0101532186867257e-39,9.255955731482847e-40,1.6299775426909843e-39,2.4334245708298432e-39,4.1342048322517096e-40,2.4163042857404256e-40
700.0,2.8017030406170716e-39,1.2961361008910665e-39,2.269608332987004e-39,3.386576402195154e-39,5.78737079928021e-40,3.319322531393235e-40
1000.0,4.0031360266690134e-39,1.8709966646335492e-39,3.2555632566056734e-39,4.8543977509589066e-39,8.356781460868226e-40,4.648752666991522e-40
